p,n,time
1,128,3.921422
1,128,5.831028
1,128,4.390348
1,256,44.754698
1,256,44.789151
1,256,42.931454
1,512,436.470009
1,512,361.320190
1,512,368.098634
1,1024,7954.815823
1,1024,7652.645035
1,1024,7471.972493
1,2048,71888.957957
1,2048,72478.130445
1,2048,71776.018892
2,128,2.361534
2,128,2.450987
2,128,1.973027
2,256,21.397565
2,256,17.927339
2,256,20.644140
2,512,196.698114
2,512,198.822342
2,512,196.917512
2,1024,1598.572745
2,1024,1464.468432
2,1024,1487.430628
2,2048,34689.869402
2,2048,34341.989260
2,2048,34086.587192
4,128,1.860617
4,128,1.944362
4,128,1.932694
4,256,11.873690
4,256,13.108788
4,256,14.087252
4,512,87.579106
4,512,106.572372
4,512,88.259133
4,1024,727.579240
4,1024,684.775080
4,1024,691.685022
4,2048,17164.853984
4,2048,16900.924160
4,2048,16967.613886
8,128,1.406706
8,128,1.524581
8,128,1.602149
8,256,7.706875
8,256,7.768860
8,256,7.538090
8,512,52.673826
8,512,53.167814
8,512,59.721545
8,1024,366.063498
8,1024,351.901325
8,1024,357.341555
8,2048,3554.505523
8,2048,3509.484435
8,2048,3507.802260
