p,n,time
1,128,4.567220
1,128,4.158155
1,128,4.591636
1,256,57.653121
1,256,57.429767
1,256,57.827186
1,512,447.519477
1,512,369.428453
1,512,372.300817
1,1024,7392.376760
1,1024,7377.082095
1,1024,7385.141383
1,2048,99202.936211
1,2048,97196.383985
1,2048,97755.168069
2,128,2.207973
2,128,3.084807
2,128,2.486613
2,256,26.275694
2,256,22.682246
2,256,24.824927
2,512,195.882707
2,512,196.680619
2,512,195.870980
2,1024,1555.823219
2,1024,1477.261839
2,1024,1486.096693
2,2048,35406.056435
2,2048,35168.341695
2,2048,35226.039611
4,128,1.981107
4,128,2.042696
4,128,2.034144
4,256,12.666391
4,256,13.732894
4,256,12.461769
4,512,108.396485
4,512,107.715628
4,512,105.937749
4,1024,675.529145
4,1024,630.457370
4,1024,603.298976
4,2048,15489.638980
4,2048,15490.564309
4,2048,15464.308478
8,128,1.680024
8,128,1.668043
8,128,1.983094
8,256,7.885051
8,256,9.289068
8,256,8.114684
8,512,58.274435
8,512,57.093651
8,512,55.384881
8,1024,359.654152
8,1024,372.937425
8,1024,358.600949
8,2048,3293.040244
8,2048,3300.849936
8,2048,3329.566882
