t,n,time
1,128,0.001045
1,128,0.001037
1,128,0.000533
1,128,0.000531
1,128,0.000532
1,256,0.005110
1,256,0.004791
1,256,0.004787
1,256,0.004705
1,256,0.004655
1,512,0.034442
1,512,0.026790
1,512,0.025744
1,512,0.026175
1,512,0.025937
1,1024,0.197068
1,1024,0.196975
1,1024,0.197786
1,1024,0.197270
1,1024,0.196559
1,2048,2.876317
1,2048,2.851159
1,2048,2.866301
1,2048,2.856120
1,2048,2.835772
2,128,0.000648
2,128,0.000641
2,128,0.000472
2,128,0.000646
2,128,0.000516
2,256,0.004043
2,256,0.004623
2,256,0.003671
2,256,0.003225
2,256,0.003613
2,512,0.022835
2,512,0.021795
2,512,0.024382
2,512,0.020535
2,512,0.022572
2,1024,0.137259
2,1024,0.136503
2,1024,0.157920
2,1024,0.121131
2,1024,0.157106
2,2048,2.028135
2,2048,2.164452
2,2048,2.005092
2,2048,2.133597
2,2048,2.106189
4,128,0.000471
4,128,0.000404
4,128,0.000447
4,128,0.000396
4,128,0.000453
4,256,0.002459
4,256,0.002204
4,256,0.001747
4,256,0.002455
4,256,0.002233
4,512,0.016213
4,512,0.016171
4,512,0.014254
4,512,0.014266
4,512,0.012621
4,1024,0.073065
4,1024,0.073100
4,1024,0.071958
